nome,logradouro,numero,cep,bairro,microbairro,latitude,longitude
Torre Star 1,Avenida Embaixador Abelardo Bueno,5740,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Residencial Star 1,Rua Mário Covas Júnior,5750,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Star 1,Avenida Heitor Doyle Maia,5760,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Star 1,Rua Paulo Moura,5770,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Star 1,Avenida Jornalista Tim Lopes,5780,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Star 1,Avenida Lúcio Costa,5790,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Conjunto Star 1,Avenida das Américas,5800,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Vila Star 1,Avenida Ayrton Senna,5810,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Star 1,Avenida Embaixador Abelardo Bueno,5820,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Oasis Star 1,Rua Mário Covas Júnior,5830,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Star 1,Avenida Heitor Doyle Maia,5840,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Star 1,Rua Paulo Moura,5850,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Star 1,Avenida Jornalista Tim Lopes,5860,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Star 1,Avenida Lúcio Costa,5870,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Platinum Star 1,Avenida das Américas,5880,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Torre Barra 2,Avenida Ayrton Senna,5890,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Barra 2,Avenida Embaixador Abelardo Bueno,5900,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Edifício Barra 2,Rua Mário Covas Júnior,5910,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Barra 2,Avenida Heitor Doyle Maia,5920,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Barra 2,Rua Paulo Moura,5930,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Barra 2,Avenida Jornalista Tim Lopes,5940,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Barra 2,Avenida Lúcio Costa,5950,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Vila Barra 2,Avenida das Américas,5960,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Parque Barra 2,Avenida Ayrton Senna,5970,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Barra 2,Avenida Embaixador Abelardo Bueno,5980,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Templo Barra 2,Rua Mário Covas Júnior,5990,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Barra 2,Avenida Heitor Doyle Maia,6000,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Barra 2,Rua Paulo Moura,6010,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Barra 2,Avenida Jornalista Tim Lopes,6020,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Barra 2,Avenida Lúcio Costa,6030,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Torre Palace 2,Avenida das Américas,6040,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Residencial Palace 2,Avenida Ayrton Senna,6050,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Palace 2,Avenida Embaixador Abelardo Bueno,6060,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
